sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-sispa-ill-s12220-2,0.22,99.78,29836,220867,mmm-sispa-ill-s12220-2.fasta,mmm-sispa-ill-s12220-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s16621-2,0.28,99.66,29820,492464,mmm-artic-ill-s16621-2.fasta,mmm-artic-ill-s16621-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s35910-2,0.32,99.62,29808,706537,mmm-artic-ill-s35910-2.fasta,mmm-artic-ill-s35910-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s79306-2,40.80,59.20,2718,420696,mmm-artic-ill-s79306-2.fasta,mmm-artic-ill-s79306-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s71898-1,0.21,99.79,29840,1062832,mmm-artic-ill-s71898-1.fasta,mmm-artic-ill-s71898-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s44846-1,2.98,97.00,17425,462185,mmm-artic-ill-s44846-1.fasta,mmm-artic-ill-s44846-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s53667-2,0.22,99.76,29836,486986,mmm-sispa-ill-s53667-2.fasta,mmm-sispa-ill-s53667-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s53667-1,0.81,99.17,22644,819344,mmm-artic-ill-s53667-1.fasta,mmm-artic-ill-s53667-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s16621-1,0.10,99.89,29873,2194826,mmm-sispa-ill-s16621-1.fasta,mmm-sispa-ill-s16621-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s16621-2,0.09,99.89,29875,1486908,mmm-sispa-ill-s16621-2.fasta,mmm-sispa-ill-s16621-2.mapped.primertrimmed.sorted.bam,TRUE
phe-sispa-ill-s82718-1,0.11,99.89,21769,7774122,phe-sispa-ill-s82718-1.fasta,phe-sispa-ill-s82718-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s24350-1,0.00,100.00,29903,2804451,mmm-sispa-ill-s24350-1.fasta,mmm-sispa-ill-s24350-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s24350-1,0.30,99.67,26066,1074258,mmm-artic-ill-s24350-1.fasta,mmm-artic-ill-s24350-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s59130-2,0.00,99.98,29903,2295326,mmm-sispa-ill-s59130-2.fasta,mmm-sispa-ill-s59130-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s81454-2,98.88,1.12,138,290,mmm-sispa-ill-s81454-2.fasta,mmm-sispa-ill-s81454-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s59130-1,100.00,0.00,1,38,mmm-sispa-ill-s59130-1.fasta,mmm-sispa-ill-s59130-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s81454-1,100.00,0.00,1,1,mmm-sispa-ill-s81454-1.fasta,mmm-sispa-ill-s81454-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s52123-2,100.00,0.00,1,3,mmm-sispa-ill-s52123-2.fasta,mmm-sispa-ill-s52123-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s76383-1,100.00,0.00,1,4,mmm-sispa-ill-s76383-1.fasta,mmm-sispa-ill-s76383-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s52123-1,100.00,0.00,1,1,mmm-sispa-ill-s52123-1.fasta,mmm-sispa-ill-s52123-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-artic-ill-s52123-2,99.69,0.31,34,944,mmm-artic-ill-s52123-2.fasta,mmm-artic-ill-s52123-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s48306-2,100.00,0.00,1,3,mmm-sispa-ill-s48306-2.fasta,mmm-sispa-ill-s48306-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-artic-ill-s52123-1,99.67,0.33,38,2360,mmm-artic-ill-s52123-1.fasta,mmm-artic-ill-s52123-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s76383-2,100.00,0.00,1,2,mmm-sispa-ill-s76383-2.fasta,mmm-sispa-ill-s76383-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s12152-2,100.00,0.00,1,29,mmm-sispa-ill-s12152-2.fasta,mmm-sispa-ill-s12152-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s62394-2,100.00,0.00,1,75,mmm-sispa-ill-s62394-2.fasta,mmm-sispa-ill-s62394-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-artic-ill-s81454-1,63.81,36.15,2777,45984,mmm-artic-ill-s81454-1.fasta,mmm-artic-ill-s81454-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s56299-1,99.59,0.41,57,90,mmm-sispa-ill-s56299-1.fasta,mmm-sispa-ill-s56299-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s62394-1,100.00,0.00,1,147,mmm-sispa-ill-s62394-1.fasta,mmm-sispa-ill-s62394-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s56299-2,99.97,0.03,9,111,mmm-sispa-ill-s56299-2.fasta,mmm-sispa-ill-s56299-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-artic-ill-s82203-1,81.50,18.50,649,45876,mmm-artic-ill-s82203-1.fasta,mmm-artic-ill-s82203-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s82203-2,100.00,0.00,1,22,mmm-sispa-ill-s82203-2.fasta,mmm-sispa-ill-s82203-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s96685-1,95.04,4.96,376,343,mmm-sispa-ill-s96685-1.fasta,mmm-sispa-ill-s96685-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s35910-2,99.36,0.64,184,211,mmm-sispa-ill-s35910-2.fasta,mmm-sispa-ill-s35910-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s35910-3,100.00,0.00,1,223,mmm-sispa-ill-s35910-3.fasta,mmm-sispa-ill-s35910-3.mapped.primertrimmed.sorted.bam,FALSE
mmm-artic-ill-s81454-2,75.19,24.80,1284,31182,mmm-artic-ill-s81454-2.fasta,mmm-artic-ill-s81454-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s35910-1,99.58,0.42,114,297,mmm-sispa-ill-s35910-1.fasta,mmm-sispa-ill-s35910-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s96685-2,100.00,0.00,1,42,mmm-sispa-ill-s96685-2.fasta,mmm-sispa-ill-s96685-2.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s48306-1,100.00,0.00,1,1,mmm-sispa-ill-s48306-1.fasta,mmm-sispa-ill-s48306-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s12152-1,99.99,0.01,3,122,mmm-sispa-ill-s12152-1.fasta,mmm-sispa-ill-s12152-1.mapped.primertrimmed.sorted.bam,FALSE
mmm-sispa-ill-s82203-1,100.00,0.00,1,2,mmm-sispa-ill-s82203-1.fasta,mmm-sispa-ill-s82203-1.mapped.primertrimmed.sorted.bam,FALSE
