name,class_,origin,sample_hash,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill_s14305_2,mmm-artic-ill,clinical,s14305,ill,artic,2,mmm-artic-ill_s14305_2*.fastq.gz,96.81372549019608,487,B.1.13,3.1.5
mmm-artic-ill_s14305_3,mmm-artic-ill,clinical,s14305,ill,artic,3,mmm-artic-ill_s14305_3*.fastq.gz,94.5876980929358,530,B.1.13,3.1.5
mmm-artic-ont_s14305_1,mmm-artic-ont,clinical,s14305,ont,artic,1,mmm-artic-ont_s14305_1*.fastq.gz,100.0,8482,B.1.13,3.1.5
mmm-artic-ill_s99011_1,mmm-artic-ill,clinical,s99011,ill,artic,1,mmm-artic-ill_s99011_1*.fastq.gz,97.08232608111737,764,B.1.1.369,3.1.5
mmm-artic-ont_s99011_1,mmm-artic-ont,clinical,s99011,ont,artic,1,mmm-artic-ont_s99011_1*.fastq.gz,100.0,5604,B.1.1.369,3.1.5
mmm-artic-ill_s12466_1,mmm-artic-ill,clinical,s12466,ill,artic,1,mmm-artic-ill_s12466_1*.fastq.gz,97.9552780016116,1008,B.1.1.83,3.1.5
mmm-artic-ont_s12466_1,mmm-artic-ont,clinical,s12466,ont,artic,1,mmm-artic-ont_s12466_1*.fastq.gz,100.0,2709,B.1.1.83,3.1.5
mmm-artic-ill_s10370_1,mmm-artic-ill,clinical,s10370,ill,artic,1,mmm-artic-ill_s10370_1*.fastq.gz,95.50765511684126,648,B.1.1,3.1.5
mmm-artic-ont_s10370_1,mmm-artic-ont,clinical,s10370,ont,artic,1,mmm-artic-ont_s10370_1*.fastq.gz,100.0,1509,B.1.1,3.1.5
mmm-artic-ill_s29903_1,mmm-artic-ill,clinical,s29903,ill,artic,1,mmm-artic-ill_s29903_1*.fastq.gz,99.70118184260005,1046,B.1.1,3.1.5
mmm-artic-ont_s29903_1,mmm-artic-ont,clinical,s29903,ont,artic,1,mmm-artic-ont_s29903_1*.fastq.gz,100.0,9685,B.1.1,3.1.5
mmm-artic-ill_s60021_1,mmm-artic-ill,clinical,s60021,ill,artic,1,mmm-artic-ill_s60021_1*.fastq.gz,99.83883964544722,1268,B.3,3.1.5
mmm-artic-ont_s60021_1,mmm-artic-ont,clinical,s60021,ont,artic,1,mmm-artic-ont_s60021_1*.fastq.gz,100.0,5873,B.3,3.1.5
mmm-artic-ill_s10497_1,mmm-artic-ill,clinical,s10497,ill,artic,1,mmm-artic-ill_s10497_1*.fastq.gz,99.47622884770347,1371,B.1.1,3.1.5
mmm-artic-ont_s10497_1,mmm-artic-ont,clinical,s10497,ont,artic,1,mmm-artic-ont_s10497_1*.fastq.gz,100.0,8973,B.1.1,3.1.5
mmm-artic-ill_s63857_1,mmm-artic-ill,clinical,s63857,ill,artic,1,mmm-artic-ill_s63857_1*.fastq.gz,99.5668815471394,2300,B.1.1,3.1.5
mmm-artic-ont_s63857_1,mmm-artic-ont,clinical,s63857,ont,artic,1,mmm-artic-ont_s63857_1*.fastq.gz,100.0,9473,B.1.1,3.1.5
mmm-artic-ill_s92227_1,mmm-artic-ill,clinical,s92227,ill,artic,1,mmm-artic-ill_s92227_1*.fastq.gz,96.68278270212195,1128,B.1.177.17,3.1.5
mmm-artic-ont_s92227_1,mmm-artic-ont,clinical,s92227,ont,artic,1,mmm-artic-ont_s92227_1*.fastq.gz,100.0,3939,B.1.177.17,3.1.5
mmm-artic-ill_s14270_1,mmm-artic-ill,clinical,s14270,ill,artic,1,mmm-artic-ill_s14270_1*.fastq.gz,99.12369057211926,1258,B.1.177.7,3.1.5
mmm-artic-ont_s14270_1,mmm-artic-ont,clinical,s14270,ont,artic,1,mmm-artic-ont_s14270_1*.fastq.gz,100.0,1310,B.1.177.7,3.1.5
mmm-artic-ill_s27509_1,mmm-artic-ill,clinical,s27509,ill,artic,1,mmm-artic-ill_s27509_1*.fastq.gz,98.80808487778673,1203,B.1.1.46,3.1.5
mmm-artic-ont_s27509_1,mmm-artic-ont,clinical,s27509,ont,artic,1,mmm-artic-ont_s27509_1*.fastq.gz,99.97313994090787,2486,B.1.1.46,3.1.5
mmm-artic-ill_s44846_1,mmm-artic-ill,clinical,s44846,ill,artic,1,mmm-artic-ill_s44846_1*.fastq.gz,98.67378458232608,2098,B.1.258,3.1.5
mmm-artic-ont_s44846_1,mmm-artic-ont,clinical,s44846,ont,artic,1,mmm-artic-ont_s44846_1*.fastq.gz,100.0,3378,B.1.258,3.1.5
mmm-artic-ill_s67251_1,mmm-artic-ill,clinical,s67251,ill,artic,1,mmm-artic-ill_s67251_1*.fastq.gz,98.11979586355089,1063,B.1.1,3.1.5
mmm-artic-ont_s67251_1,mmm-artic-ont,clinical,s67251,ont,artic,1,mmm-artic-ont_s67251_1*.fastq.gz,100.0,1680,B.1.1,3.1.5
mmm-artic-ill_s48306_1,mmm-artic-ill,clinical,s48306,ill,artic,1,mmm-artic-ill_s48306_1*.fastq.gz,90.77356970185335,399,,3.1.5
mmm-artic-ill_s48306_2,mmm-artic-ill,clinical,s48306,ill,artic,2,mmm-artic-ill_s48306_2*.fastq.gz,95.68560300832661,549,,3.1.5
mmm-artic-ont_s48306_1,mmm-artic-ont,clinical,s48306,ont,artic,1,mmm-artic-ont_s48306_1*.fastq.gz,99.42586623690572,98,,3.1.5
mmm-artic-ont_s48306_2,mmm-artic-ont,clinical,s48306,ont,artic,2,mmm-artic-ont_s48306_2*.fastq.gz,90.7232070910556,82,,3.1.5
mmm-artic-ont_s48306_3,mmm-artic-ont,clinical,s48306,ont,artic,3,mmm-artic-ont_s48306_3*.fastq.gz,63.42667203867849,27,,3.1.5
mmm-artic-ont_s48306_4,mmm-artic-ont,clinical,s48306,ont,artic,4,mmm-artic-ont_s48306_4*.fastq.gz,62.29854955680902,27,,3.1.5
mmm-sispa-ill_s48306_1,mmm-sispa-ill,clinical,s48306,ill,sispa,1,mmm-sispa-ill_s48306_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ill_s48306_2,mmm-sispa-ill,clinical,s48306,ill,sispa,2,mmm-sispa-ill_s48306_2*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s48306_1,mmm-sispa-ont,clinical,s48306,ont,sispa,1,mmm-sispa-ont_s48306_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s48306_2,mmm-sispa-ont,clinical,s48306,ont,sispa,2,mmm-sispa-ont_s48306_2*.fastq.gz,0.0,0,,3.1.5
mmm-artic-ill_s52123_1,mmm-artic-ill,clinical,s52123,ill,artic,1,mmm-artic-ill_s52123_1*.fastq.gz,57.75919957023905,37,,3.1.5
mmm-artic-ill_s52123_2,mmm-artic-ill,clinical,s52123,ill,artic,2,mmm-artic-ill_s52123_2*.fastq.gz,38.544184797206555,8,,3.1.5
mmm-artic-ont_s52123_1,mmm-artic-ont,clinical,s52123,ont,artic,1,mmm-artic-ont_s52123_1*.fastq.gz,81.32890142358313,34,,3.1.5
mmm-artic-ont_s52123_2,mmm-artic-ont,clinical,s52123,ont,artic,2,mmm-artic-ont_s52123_2*.fastq.gz,60.51235562718238,24,,3.1.5
mmm-artic-ont_s52123_3,mmm-artic-ont,clinical,s52123,ont,artic,3,mmm-artic-ont_s52123_3*.fastq.gz,23.025785656728445,11,,3.1.5
mmm-artic-ont_s52123_4,mmm-artic-ont,clinical,s52123,ont,artic,4,mmm-artic-ont_s52123_4*.fastq.gz,13.910153102336825,10,,3.1.5
mmm-sispa-ill_s52123_1,mmm-sispa-ill,clinical,s52123,ill,sispa,1,mmm-sispa-ill_s52123_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ill_s52123_2,mmm-sispa-ill,clinical,s52123,ill,sispa,2,mmm-sispa-ill_s52123_2*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s52123_1,mmm-sispa-ont,clinical,s52123,ont,sispa,1,mmm-sispa-ont_s52123_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s52123_2,mmm-sispa-ont,clinical,s52123,ont,sispa,2,mmm-sispa-ont_s52123_2*.fastq.gz,0.0,0,,3.1.5
mmm-artic-ill_s12152_1,mmm-artic-ill,clinical,s12152,ill,artic,1,mmm-artic-ill_s12152_1*.fastq.gz,100.0,6238,B.1.1.277,3.1.5
mmm-artic-ill_s12152_2,mmm-artic-ill,clinical,s12152,ill,artic,2,mmm-artic-ill_s12152_2*.fastq.gz,100.0,4140,B.1.1.277,3.1.5
mmm-artic-ont_s12152_1,mmm-artic-ont,clinical,s12152,ont,artic,1,mmm-artic-ont_s12152_1*.fastq.gz,99.9597099113618,277,B.1.1.277,3.1.5
mmm-artic-ont_s12152_2,mmm-artic-ont,clinical,s12152,ont,artic,2,mmm-artic-ont_s12152_2*.fastq.gz,99.56016653236637,665,B.1.1.277,3.1.5
mmm-artic-ont_s12152_3,mmm-artic-ont,clinical,s12152,ont,artic,3,mmm-artic-ont_s12152_3*.fastq.gz,95.85683588503895,337,B.1.1.277,3.1.5
mmm-artic-ont_s12152_4,mmm-artic-ont,clinical,s12152,ont,artic,4,mmm-artic-ont_s12152_4*.fastq.gz,95.05774912704807,188,B.1.1.277,3.1.5
mmm-sispa-ill_s12152_1,mmm-sispa-ill,clinical,s12152,ill,sispa,1,mmm-sispa-ill_s12152_1*.fastq.gz,0.0,0,B.1.1.277,3.1.5
mmm-sispa-ill_s12152_2,mmm-sispa-ill,clinical,s12152,ill,sispa,2,mmm-sispa-ill_s12152_2*.fastq.gz,0.0,0,B.1.1.277,3.1.5
mmm-sispa-ont_s12152_1,mmm-sispa-ont,clinical,s12152,ont,sispa,1,mmm-sispa-ont_s12152_1*.fastq.gz,0.0,1,B.1.1.277,3.1.5
mmm-sispa-ont_s12152_2,mmm-sispa-ont,clinical,s12152,ont,sispa,2,mmm-sispa-ont_s12152_2*.fastq.gz,0.0,0,B.1.1.277,3.1.5
mmm-artic-ill_s76383_1,mmm-artic-ill,clinical,s76383,ill,artic,1,mmm-artic-ill_s76383_1*.fastq.gz,97.42143432715552,1915,,3.1.5
mmm-artic-ill_s76383_2,mmm-artic-ill,clinical,s76383,ill,artic,2,mmm-artic-ill_s76383_2*.fastq.gz,97.92841794251947,2036,,3.1.5
mmm-artic-ont_s76383_1,mmm-artic-ont,clinical,s76383,ont,artic,1,mmm-artic-ont_s76383_1*.fastq.gz,94.04378189632017,147,,3.1.5
mmm-artic-ont_s76383_2,mmm-artic-ont,clinical,s76383,ont,artic,2,mmm-artic-ont_s76383_2*.fastq.gz,24.69446682782702,4,,3.1.5
mmm-artic-ont_s76383_3,mmm-artic-ont,clinical,s76383,ont,artic,3,mmm-artic-ont_s76383_3*.fastq.gz,53.13591189900618,23,,3.1.5
mmm-sispa-ill_s76383_1,mmm-sispa-ill,clinical,s76383,ill,sispa,1,mmm-sispa-ill_s76383_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ill_s76383_2,mmm-sispa-ill,clinical,s76383,ill,sispa,2,mmm-sispa-ill_s76383_2*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s76383_1,mmm-sispa-ont,clinical,s76383,ont,sispa,1,mmm-sispa-ont_s76383_1*.fastq.gz,0.0,0,,3.1.5
mmm-sispa-ont_s76383_2,mmm-sispa-ont,clinical,s76383,ont,sispa,2,mmm-sispa-ont_s76383_2*.fastq.gz,0.0,0,,3.1.5
mmm-artic-ill_s11116_1,mmm-artic-ill,clinical,s11116,ill,artic,1,mmm-artic-ill_s11116_1*.fastq.gz,99.03303787268331,1459,B.1.160.7,3.1.5
mmm-artic-ont_s11116_1,mmm-artic-ont,clinical,s11116,ont,artic,1,mmm-artic-ont_s11116_1*.fastq.gz,100.0,2868,B.1.160.7,3.1.5
mmm-artic-ill_s26992_1,mmm-artic-ill,clinical,s26992,ill,artic,1,mmm-artic-ill_s26992_1*.fastq.gz,99.83548213806071,2209,B.1.1.311,3.1.5
mmm-artic-ont_s26992_1,mmm-artic-ont,clinical,s26992,ont,artic,1,mmm-artic-ont_s26992_1*.fastq.gz,100.0,3168,B.1.1.311,3.1.5
mmm-artic-ill_s28127_1,mmm-artic-ill,clinical,s28127,ill,artic,1,mmm-artic-ill_s28127_1*.fastq.gz,95.99785119527263,357,B.1.1.7,3.1.5
mmm-artic-ill_s28127_2,mmm-artic-ill,clinical,s28127,ill,artic,2,mmm-artic-ill_s28127_2*.fastq.gz,99.38893365565404,939,B.1.1.7,3.1.5
mmm-artic-ill_s28127_3,mmm-artic-ill,clinical,s28127,ill,artic,3,mmm-artic-ill_s28127_3*.fastq.gz,99.9362073596562,1413,B.1.1.7,3.1.5
mmm-artic-ont_s28127_1,mmm-artic-ont,clinical,s28127,ont,artic,1,mmm-artic-ont_s28127_1*.fastq.gz,100.0,4156,B.1.1.7,3.1.5
