name,class_,sample,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill__F79845__3,mmm-artic-ill,F79845,ill,artic,3,mmm-artic-ill__F79845__3*.fastq.gz,97.67660488853076,1214,B.1.177,3.1.5
mmm-artic-ont__F79845__1,mmm-artic-ont,F79845,ont,artic,1,mmm-artic-ont__F79845__1*.fastq.gz,100.0,1701,B.1.177,3.1.5
mmm-artic-ill__GS_SA__1,mmm-artic-ill,GS_SA,ill,artic,1,mmm-artic-ill__GS_SA__1*.fastq.gz,98.6368520010744,3549,B.1.351,3.1.5
mmm-artic-ill__GS_SA__2,mmm-artic-ill,GS_SA,ill,artic,2,mmm-artic-ill__GS_SA__2*.fastq.gz,98.64020950846091,4267,B.1.351,3.1.5
mmm-artic-ont__GS_SA__1,mmm-artic-ont,GS_SA,ont,artic,1,mmm-artic-ont__GS_SA__1*.fastq.gz,99.46279881815741,3675,B.1.351,3.1.5
mmm-artic-ont__GS_SA__2,mmm-artic-ont,GS_SA,ont,artic,2,mmm-artic-ont__GS_SA__2*.fastq.gz,99.45944131077088,2039,B.1.351,3.1.5
mmm-sispa-ont__GS_SA__1,mmm-sispa-ont,GS_SA,ont,sispa,1,mmm-sispa-ont__GS_SA__1*.fastq.gz,100.0,437,B.1.351,3.1.5
mmm-sispa-ont__GS_SA__2,mmm-sispa-ont,GS_SA,ont,sispa,2,mmm-sispa-ont__GS_SA__2*.fastq.gz,100.0,685,B.1.351,3.1.5
phe-sispa-ill__GS_SA__1,phe-sispa-ill,GS_SA,ill,sispa,1,phe-sispa-ill__GS_SA__1*.fastq.gz,99.95635240397529,711,B.1.351,3.1.5
mmm-artic-ill__GS_kent111__1,mmm-artic-ill,GS_kent111,ill,artic,1,mmm-artic-ill__GS_kent111__1*.fastq.gz,99.9395648670427,4754,B.1.1.7,3.1.5
mmm-artic-ill__GS_kent111__2,mmm-artic-ill,GS_kent111,ill,artic,2,mmm-artic-ill__GS_kent111__2*.fastq.gz,86.61361804995971,189,B.1.1.7,3.1.5
mmm-artic-ont__GS_kent111__1,mmm-artic-ont,GS_kent111,ont,artic,1,mmm-artic-ont__GS_kent111__1*.fastq.gz,100.0,2482,B.1.1.7,3.1.5
mmm-artic-ont__GS_kent111__2,mmm-artic-ont,GS_kent111,ont,artic,2,mmm-artic-ont__GS_kent111__2*.fastq.gz,100.0,1895,B.1.1.7,3.1.5
mmm-artic-ill__GS_kent112__1,mmm-artic-ill,GS_kent112,ill,artic,1,mmm-artic-ill__GS_kent112__1*.fastq.gz,99.9395648670427,5256,B.1.1.7,3.1.5
mmm-artic-ill__GS_kent112__2,mmm-artic-ill,GS_kent112,ill,artic,2,mmm-artic-ill__GS_kent112__2*.fastq.gz,99.9395648670427,5862,B.1.1.7,3.1.5
mmm-artic-ont__GS_kent112__1,mmm-artic-ont,GS_kent112,ont,artic,1,mmm-artic-ont__GS_kent112__1*.fastq.gz,100.0,7205,B.1.1.7,3.1.5
mmm-artic-ont__GS_kent112__2,mmm-artic-ont,GS_kent112,ont,artic,2,mmm-artic-ont__GS_kent112__2*.fastq.gz,100.0,10639,B.1.1.7,3.1.5
mmm-artic-ill__GS_kentPHE__1,mmm-artic-ill,GS_kentPHE,ill,artic,1,mmm-artic-ill__GS_kentPHE__1*.fastq.gz,99.46951383293043,3781,B.1.1.7,3.1.5
mmm-artic-ill__GS_kentPHE__2,mmm-artic-ill,GS_kentPHE,ill,artic,2,mmm-artic-ill__GS_kentPHE__2*.fastq.gz,99.16062315337093,4501,B.1.1.7,3.1.5
mmm-artic-ont__GS_kentPHE__1,mmm-artic-ont,GS_kentPHE,ont,artic,1,mmm-artic-ont__GS_kentPHE__1*.fastq.gz,100.0,6363,B.1.1.7,3.1.5
mmm-artic-ont__GS_kentPHE__2,mmm-artic-ont,GS_kentPHE,ont,artic,2,mmm-artic-ont__GS_kentPHE__2*.fastq.gz,100.0,3123,B.1.1.7,3.1.5
phe-sispa-ill__GS_kentPHE__1,phe-sispa-ill,GS_kentPHE,ill,sispa,1,phe-sispa-ill__GS_kentPHE__1*.fastq.gz,99.99328498522698,20493,B.1.1.7,3.1.5
phe-sispa-ont__GS_kentPHE__1,phe-sispa-ont,GS_kentPHE,ont,sispa,1,phe-sispa-ont__GS_kentPHE__1*.fastq.gz,100.0,1248,B.1.1.7,3.1.5
mmm-artic-ill__H62315__1,mmm-artic-ill,H62315,ill,artic,1,mmm-artic-ill__H62315__1*.fastq.gz,97.85791028740263,715,B.1.13,3.1.5
mmm-artic-ill__H62315__2,mmm-artic-ill,H62315,ill,artic,2,mmm-artic-ill__H62315__2*.fastq.gz,96.81372549019608,487,B.1.13,3.1.5
mmm-artic-ill__H62315__3,mmm-artic-ill,H62315,ill,artic,3,mmm-artic-ill__H62315__3*.fastq.gz,94.5876980929358,530,B.1.13,3.1.5
mmm-artic-ont__H62315__1,mmm-artic-ont,H62315,ont,artic,1,mmm-artic-ont__H62315__1*.fastq.gz,100.0,8482,B.1.13,3.1.5
mmm-artic-ill__L62779__1,mmm-artic-ill,L62779,ill,artic,1,mmm-artic-ill__L62779__1*.fastq.gz,97.08232608111737,764,B.1.1.369,3.1.5
mmm-artic-ont__L62779__1,mmm-artic-ont,L62779,ont,artic,1,mmm-artic-ont__L62779__1*.fastq.gz,100.0,5604,B.1.1.369,3.1.5
mmm-artic-ill__L64590__1,mmm-artic-ill,L64590,ill,artic,1,mmm-artic-ill__L64590__1*.fastq.gz,97.9552780016116,1008,B.1.1.83,3.1.5
mmm-artic-ont__L64590__1,mmm-artic-ont,L64590,ont,artic,1,mmm-artic-ont__L64590__1*.fastq.gz,100.0,2709,B.1.1.83,3.1.5
mmm-artic-ill__L64859__1,mmm-artic-ill,L64859,ill,artic,1,mmm-artic-ill__L64859__1*.fastq.gz,95.50765511684126,648,B.1.1,3.1.5
mmm-artic-ont__L64859__1,mmm-artic-ont,L64859,ont,artic,1,mmm-artic-ont__L64859__1*.fastq.gz,100.0,1509,B.1.1,3.1.5
mmm-artic-ill__L65765__1,mmm-artic-ill,L65765,ill,artic,1,mmm-artic-ill__L65765__1*.fastq.gz,99.70118184260005,1046,B.1.1,3.1.5
mmm-artic-ont__L65765__1,mmm-artic-ont,L65765,ont,artic,1,mmm-artic-ont__L65765__1*.fastq.gz,100.0,9685,B.1.1,3.1.5
mmm-artic-ill__L70942__1,mmm-artic-ill,L70942,ill,artic,1,mmm-artic-ill__L70942__1*.fastq.gz,99.83883964544722,1268,B.3,3.1.5
mmm-artic-ont__L70942__1,mmm-artic-ont,L70942,ont,artic,1,mmm-artic-ont__L70942__1*.fastq.gz,100.0,5873,B.3,3.1.5
mmm-artic-ill__L75872__1,mmm-artic-ill,L75872,ill,artic,1,mmm-artic-ill__L75872__1*.fastq.gz,99.47622884770347,1371,B.1.1,3.1.5
mmm-artic-ont__L75872__1,mmm-artic-ont,L75872,ont,artic,1,mmm-artic-ont__L75872__1*.fastq.gz,100.0,8973,B.1.1,3.1.5
mmm-artic-ill__L76365__1,mmm-artic-ill,L76365,ill,artic,1,mmm-artic-ill__L76365__1*.fastq.gz,99.5668815471394,2300,B.1.1,3.1.5
mmm-artic-ont__L76365__1,mmm-artic-ont,L76365,ont,artic,1,mmm-artic-ont__L76365__1*.fastq.gz,100.0,9473,B.1.1,3.1.5
mmm-artic-ill__N181395__1,mmm-artic-ill,N181395,ill,artic,1,mmm-artic-ill__N181395__1*.fastq.gz,96.68278270212195,1128,B.1.177.17,3.1.5
mmm-artic-ont__N181395__1,mmm-artic-ont,N181395,ont,artic,1,mmm-artic-ont__N181395__1*.fastq.gz,100.0,3939,B.1.177.17,3.1.5
mmm-artic-ill__N181787__1,mmm-artic-ill,N181787,ill,artic,1,mmm-artic-ill__N181787__1*.fastq.gz,99.12369057211926,1258,B.1.177.7,3.1.5
mmm-artic-ont__N181787__1,mmm-artic-ont,N181787,ont,artic,1,mmm-artic-ont__N181787__1*.fastq.gz,100.0,1310,B.1.177.7,3.1.5
mmm-artic-ill__N182909__1,mmm-artic-ill,N182909,ill,artic,1,mmm-artic-ill__N182909__1*.fastq.gz,98.80808487778673,1203,B.1.1.46,3.1.5
mmm-artic-ont__N182909__1,mmm-artic-ont,N182909,ont,artic,1,mmm-artic-ont__N182909__1*.fastq.gz,99.97313994090787,2486,B.1.1.46,3.1.5
mmm-artic-ill__N186633__1,mmm-artic-ill,N186633,ill,artic,1,mmm-artic-ill__N186633__1*.fastq.gz,98.67378458232608,2098,B.1.258,3.1.5
mmm-artic-ont__N186633__1,mmm-artic-ont,N186633,ont,artic,1,mmm-artic-ont__N186633__1*.fastq.gz,100.0,3378,B.1.258,3.1.5
mmm-artic-ill__N187301__1,mmm-artic-ill,N187301,ill,artic,1,mmm-artic-ill__N187301__1*.fastq.gz,98.11979586355089,1063,B.1.1,3.1.5
mmm-artic-ont__N187301__1,mmm-artic-ont,N187301,ont,artic,1,mmm-artic-ont__N187301__1*.fastq.gz,100.0,1680,B.1.1,3.1.5
