sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-artic-ont-s62394-2,1.40,98.60,27440,49464,mmm-artic-ont-s62394-2.consensus.fasta,mmm-artic-ont-s62394-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s16621-1,0.40,99.59,29764,63099,mmm-sispa-ont-s16621-1.consensus.fasta,mmm-sispa-ont-s16621-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s53667-2,0.40,99.59,29777,39166,mmm-sispa-ont-s53667-2.consensus.fasta,mmm-sispa-ont-s53667-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11447-1,0.41,99.60,27704,80018,mmm-artic-ont-s11447-1.consensus.fasta,mmm-artic-ont-s11447-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s76383-1,24.13,75.75,3862,11254,mmm-artic-ont-s76383-1.consensus.fasta,mmm-artic-ont-s76383-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12220-4,0.40,99.60,29783,91447,mmm-artic-ont-s12220-4.consensus.fasta,mmm-artic-ont-s12220-4.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s16621-2,0.40,99.60,29764,76560,mmm-sispa-ont-s16621-2.consensus.fasta,mmm-sispa-ont-s16621-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12220-1,0.40,99.60,29783,82065,mmm-artic-ont-s12220-1.consensus.fasta,mmm-artic-ont-s12220-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s17576-1,0.92,99.08,29303,77692,mmm-artic-ont-s17576-1.consensus.fasta,mmm-artic-ont-s17576-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12152-4,18.37,81.68,4114,16080,mmm-artic-ont-s12152-4.consensus.fasta,mmm-artic-ont-s12152-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11621-1,0.40,99.58,29783,70302,mmm-artic-ont-s11621-1.consensus.fasta,mmm-artic-ont-s11621-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12152-3,12.12,87.86,4559,25709,mmm-artic-ont-s12152-3.consensus.fasta,mmm-artic-ont-s12152-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12220-2,0.40,99.60,29783,91538,mmm-artic-ont-s12220-2.consensus.fasta,mmm-artic-ont-s12220-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12220-3,0.40,99.60,29783,92303,mmm-artic-ont-s12220-3.consensus.fasta,mmm-artic-ont-s12220-3.primertrimmed.rg.sorted.bam,TRUE
